original	selected	orbit_size	selected_index	used_for_strict
OX-X-XOX-XO-O--O-X--XX-XOX-OOOXOOXOXOX-X-XOXXXXOO-OXOOXOX--XO-O-	O--OO-OXXXXXXX---O--OOO-X--OXXXX-OXOOXOOX-XOXXO-O--X-XXOXOXOXOO-	16	3	false
O-OXOO-XX--XXXXXOXOXX-OOX--XXXXOXO-OX--OXOXXO-O-X-XXOO-XOO-X---X	XOOOOXOXX-XX-O---OO--X-XOOOXOOOO-XXOOOOX-X--O-OX--X-OXO-OO-XXXOO	16	5	false
OXXXOXX----OO--XO-XX-XXXO--OX---O-OXOOOOXX-OOX-XXOOO--XXOOXXX-O-	-O-XXXOOXX--OOOXX-XOO-XXOOOOXO-O---XO--OXXX-XX-OX--OO----XXOXXXO	16	11	false
O-OXXOXOO-XXOO-OOOXX----XX-XO-XO-O-XOXX-OX-O-X----X-OX-OXXXOX--O	OOOX-O-X--OXOX-XOXX---XXXXXXXO-OXO-OO-OXOO--XXX-X--XX---OO-O--OO	16	0	false
-XO-XXXOXX---XOOO--OO-X---OXX-XX-OXXXOXOXXOOXXOOOO--OXXXOOX-O---	XX-OXXO-OXOOOXO-OO--XOO-O-XOOOXX--XOOX--X--XOX-OOO--XOXX-OX--OXX	16	13	false
OOXX-XOX--XXXXO---OXOOXOXXXOX--XXXOOX-O--XXOXXOOOXXX-OOOXX-X---O	XX-X---OOXXX-OOO-XXOXXOOXXOOX-O-XXXOX--X--OXOOXO--XXXXO-OOXX-XOX	16	12	false
OXX-O-OX-OXXO-OOXO-O--OXXXOXO-XXXX-XXX-O-X-OX-XX-XOX-O-XXXOX-X--	OXOOXOO-XXXO-O------O-XOXX-XOO---OXOOXOOOO-X--XXOXXOOOOOX-OOO--O	16	0	false
OXOX-XO-XO-----XXOOXO-X-OXXOOX-XX-XXXOOXXXX-XX-OXXXXX-OXOOXXO---	-O-OOXO-X-O-X-X-O--OXO----XXOOOXO-OXO-OOX-XOOOOOOXXO-OOXXOOXOOOX	16	12	false
OOXXOOOXO-OOXXO-XO-XXOX-OO-OO-X-OO-XOX-OXO-OXOOO-X-XX-OXO-XO-XO-	-OX-OX-OXO-XX-X-OOOXO-OXO-XOX-OO-X-OO-OO-XOXX-OX-OXXOO-OXOOOXXOO	16	6	false
-X--OX-XXX-OO---O--O-XX--OXXOOXOOOXOOOOOOOOOO-X-----XOXOXOX-OO--	OXO-XX------OXOXXXXXX-O-XXOXXXXX-XOOXXOXX--X-OO-OO-XX----O--XO-O	16	3	false
OOO-XOOXXXX-XXO-XXXOOX-OOOXXO-OXX-OOX-X-X-OOXX-OOX-XO-OOOO-OO--X	OO-OO--XOX-XO-OOX-OOXX-OX-OOX-X-OOXXO-OXXXXOOX-OXXX-XXO-OOO-XOOX	16	10	false
O-OXXO---XX-X-XOO-XXX-XXXOOOXO--OOOXOOX---XOO-OX-OO-O-OXOO-XOO--	O-OXXO---XX-X-XOO-XXX-XXXOOOXO--OOOXOOX---XOO-OX-OO-O-OXOO-XOO--	16	2	false
XOX-XXXXXOO-XXX-O--X--OXOO-XO----X-XXO-XX--OX-XXO-XOO--OOOOXOX--	--XOXOOOO--OOX-OXX-XO--XX-OXX-X----OX-OOXO--X--O-XXX-OOXXXXX-XOX	16	11	false
-X-OO---XXOXOX-XOX-OXOO-XOXXOXXO--XOXXOXXO--OXXX-X-X-OOO--X-----	---XX-O-O-OXOXOO-XXOX-OXXOOXOOXOOXOOXO--OOOX--XOXXX-O-O------O--	16	0	false
OOOXX-XXX-XXO-XOXXOXXXOXOXXOXOXXO-XXXX-O-OX--OOXOO-O--XXXOOXOOX-	-XOOXOOXXX--O-OOXOO--XO-O-XXXX-OXXOXOXXOXOXXXOXXOX-OXX-XXX-XXOOO	16	2	false
XO--OOOXX-XXO-OXXXO-OXXOXO-OOXOOX-OOO-O---O--X-O-XX-XXOXO-XOO--X	XXXXX--OO-XO--X--XO-OOXX-X-OO--OOOOOO-XOO-XX-XX-OOXOO-O-XXOO-OXX	16	13	false
OX--XX-XOOXO---O--X-O-OX-XOXXXOXOOXXOOO-XX-XOOXOOXX--OOXXX-XO-O-	OXOX--XXOOOXO-XO-O-OXOO-O-OOO-X-X-XXOX-O-XXXO--OXXOXXX---OX-OOXO	16	5	false
OOX--XOX--OXO----OOO--X-O--XOOO--XOOO-O--XXOX--O--XOX-OOOOO-----	OXO--OXX---XOX---O--XXX--XXXO--X-X-XXXO-X--OXOO-XX-OXO-------XXX	16	15	false
O--XXOOXOOOXXXXOOXXOOXOX-OXXX----OXOOXXO---XXOOXXXX---X--XXOX---	XOX-OX--OXO-XOX-OXX-XO--XXOXOX-XXXOXOX-O-OXXX-XX-OXOO-XXOOO---X-	16	8	false
O-O-XO-XOO---OOXX-XO--XOX--OXOX-OX-XO-OOOOO-XOX-X-XX-XOXOOXXX--X	OOXXX--XX-XX-XOXOOO-XOX-OX-XO-OOX--OXOX-X-XO--XOOO---OOXO-O-XO-X	16	8	false
-OO-XOOOO-OOOXXXO----XXOO-XXOOO--OOOOOXO---X-OXXOOX---O-OOX-X---	--XO-OXO-OXXOXXO--OOOXXOX--OO-OX--XOX-O-XX-OX-OOOO-O---OOO--OOO-	16	0	false
XXO-XXOOOXOOX-O-XX-O-OXOXOXOXXOX---OO-XOOO--OXOOXXXXO--O-OOX-XX-	-OOOXO-OX-OXOXOOX-X-XO-X-OOOX-XXXX-OOOO-OX--X-OOOXO-OXXX-XO-XXOX	16	13	false
O---O-OOXXXX-OO-XOX-OXO-XXXOOXXXXOXXXXOOOOX-XXO---O--O-OO--X---X	O---O--XX-X--X---XOO-OXXXXOOOOXOOOOXXOOO-XOX-OXO-XX-OOOOXX-X---X	16	13	false
XOOO-X-O---OXO-O-OXX-OOOX-OOOOX---XXXOO-XO-O-OXOOOX-O--XX-XOX---	O--O-OXOX-X--XX-X-OXO-OOXXOXOX-X-O-XO-XOOXXXXX----XOXO--XXX--XO-	16	6	false
O--O--OX-O-X-XOX-X-OX-OOXXOOXOXX--XXXX-OXO-XO-XXXXO-OOXXXXX--XO-	-OOXOXOOXOO-OXXXOX-OX-O--XXOOO----OOXXOXOX-OX---OOX-OOX-OOO-O--X	16	10	false
O--O-XO-O---XOXO----OXX-XXOOX-X-OXXXOX-O-XO---OXOO---XOOOO-X-X--	-O--OXO-OXXX-OO-XOX-X-XX-XOXO---O--OX--X---OXO-----XXXOOOO-XO-OO	16	3	false
XO-OXOOO-OX--X-XXX-X-O-XXO-XO--X-XXXXO-OOO-OOOXO-OXO-XOOXXO-X--O	XO-OXOOO-OX--X-XXX-X-O-XXO-XO--X-XXXXO-OOO-OOOXO-OXO-XOOXXO-X--O	16	3	false
X-OX-X-OX-OOOXXX--XO-O-OX-OOOXX---OXXXX--OX--XO-X-O-O-XXXOX-O--X	X--O-XOXXX-O-O-X-OX--XO--XXXXO---XXOOO-XO-O-OX--XXXOOO-XO-X-XO-X	16	10	false
-OXXOOOOX-OXX--XOOOOX-OXOXXOX-XOXO-XX-XOOXXOOX-XX-XO-OXOOO--O---	-OXXOOOOX-OXX--XOOOOX-OXOXXOX-XOXO-XX-XOOXXOOX-XX-XO-OXOOO--O---	16	0	false
X-XOXOX--X--XOO-O-OXXO-OO--XO-X--O-OO-XOXXX---OX--O--X--XO-X-O--	X-OO-X-X-X--OX-OX-O--XO-O-XXO--XXXXOO---OOO---XOXO-XXO----O-OX--	16	5	false
XO-O-O-OXX-OXXXXX-OOOXX---XXX--OOXXOOO-X-XXXXXOXOOXO--X-X-X----X	OX-X-OOO-XOO--OXOOOOOX---XOXOXXX--OXOXO---OX-OOX-OX--OO-O-OOX-OX	16	11	false
X-X-XO-OXOXOX-O-XOX-XOOXOXXOO--XO-OOXO-O---XO-XOO---OO-XOX-XX---	XXXOO-OO-OOX---XXXXXO----O-OOX-XXXXOXOOXO-O-O-O--OO--X--O-XXOOX-	16	8	false
--OXOXOXXOOOO----X-XO---XO-XXOX-OX-XX-OOXO-XXOOOX--O-XXO-O-O----	--XOXOXOOXXXX----O-OX---OX-OOXO-XO-OO-XXOX-OOXXXO--X-OOX-X-X----	16	4	false
O-O-OOXXOO-XXOOX--X-XXO-OX-OO-OOOOOOXOOO--X-XOXO----OX-OXO--XXO-	XX-OOOO-XOOOOX-OOOX-OOXXOXXOXXOX-X-OO---O-X-OX---O-XO--OOO-OO--X	16	10	false
OXOOOX-XXO-O-XO----OOOOXXXXOO-OOXXXXXXOOO-OXOXXX-XX---OXOOOXX-X-	-X-XXOOOXO---XX-XXXOXO-OOOXXXXXXOO-OOXXXXOOOO----OX-O-OXX-XOOOXO	16	6	false
XOOX-OOOOXX-OO-X-OX-XO-XOXXOXOX----OXXXXXO-XXOOO-XO---OXOOXX-XX-	XO-O-X-OOXOX-OXOOXXX--OXX--OOX-X-OXXXX--OOOOXO-XO--XXOOXOXX-XOX-	16	6	false
X--OO-XOOO-X-OOXO-OX-X-XOXXOX--X-XXOX-X-XO--O-O-XO-OX--OOX--O--X	XO--XXXO--OX--OX-----XO-OXOXX--O-O-OOXXO---XXO--XOOXX-O-OXX-OOOX	16	11	false
OO-O-O-O-XXX-OOO--OOX---O-OOXX-O-X-OX-O-O-XXXO-X-XXOXOOOXOOO----	XX-X-OX--X--X-X-XX-O-XX---OOOOO-XOXXXOXX-OXX-OOXXO--O-OXX--X-X-O	16	7	false
--O--XXOX-XO-OO--OX--XXXXXXOO--O-O-OXXX-XO-OXOO-XX-XXX-XX-O-----	-----X-OO-OOO-OO-XXOX-XO-OOOX-X-X--XXOOOOOO--OX--XX-XO-OXOO--X--	16	7	false
-XXX--OX-OXO--X-----XOOOX-XXXX--O-XXX-XXXXXOOXOOO--OXOO---OXX---	--XO-X-O-XXO-XOX-XO-OX--OOXOOO--OXXOO-XOX-OOO-OO--O---XO-XOXO---	16	2	false
X--XXOX-XO-X---X---XOOX-XXXOXOOO--OOX-XX-XXX-X-X---OXXOOO-XXO---	OO-O---X-X-O-O-----OXO-OOOOXXOXOO-XOO-OXX-XX-OO-O-OXO-X--O-XOOX-	16	9	false
O----O---XOO--OOOOXXOXX-X--XX-XOXXOXO-X--OX--XXXOX-XOXXXXXOX----	O-OXX-OX-XO-XOXX-OX-OX-O-OXXX-XX--OXO-O-O-X--XX--OXXXXX--O-O-XX-	16	11	false
OXX----XX-----X--O-XXXOOXOOOX--OOX-OO-OX---OXXX-O-XO-XOXOOX--O--	XXO--X--X-OX-OXO---XOOO-XO-XX-XOOXXXO--X-X-OOOXXO-----O-XOO----O	16	0	false
XX--X--OOOX--OOO-X-X---XXO-OX-XOOXXOOO-XOOOX-X-XOOO-X-OOOOOX---X	XXOXOOXO-X-O--X--X--XO--O--OX-O---OXXO-O-O--OXXXOXOXOXXXOX-OXXXX	16	15	false
O-OX--OXOXO-XXOOOO-OOOOX--XXXOO----OOXX------O-XOXXXOOXXXX-----X	XOX--XXXOOOOX-X--XOOXOO--XOXO-O-X-OXO-X-OO-X--X--XO---XXOOO---OX	16	8	false
OXX-X-X-XOOOX--XX--XXOOOX-XOXOX---OOXOOXO-X--O---X---XXOXOXX-O--	-XO-X-O-X-OXO-X---OOOOXOXXXXX----OXOO--XXO-XOX-XXO----XOOXXX-O-X	16	14	false
XO--XXO-XOX-XX-X-OXXOXO-XX-XOX-OX-OXX--XO-OX-O-XOX--OX---X-OO---	OX--OOX-OXO-OO-O-XOOXOX-OO-OXO-XO-XOO--OX-XO-X-OXO--XO---O-XX---	16	4	false
OX-XO-OX--O-XXOXX--OXO-OO-OOOXXX-OOOOO-XOXX-X-O-X-XXXXXO-X--XO--	-O--OX--O-OOOOOXXOO-O-X--XXXXX-OX-XXXOOOO--XOX-X--X-OOXOXO-OX-XO	16	11	false
XOXX-OXXOXOXOXXX--X--OXOOO-XOOOXXOXOO-OXOO-OXXOXOO-XXOXXXO-OOXO-	OX-XXOX-XX-OOXOOXX-XOOXOOXOXX-XOXX-OXXXO--O--XOXXOXOXOOOOXOO-XOO	16	3	false
OOO--OXXOOX-OO-OXXXOOX--O--OOO-XOXOXOXOOX-XXOOXOOX--OX-X-XOXX---	-OXOOXOOXX-X-XOOO-XO-XXOX-XXOO--XOOOOOO--XOXOXOO--XO---X-XOOX-OX	16	12	false
XX-O-OX-OOOO-OOO--OXX-X--XOOO-OXOX-XO-OX--OXO---XX-X-O-XXO-OO---	XO--O-XXXO-XX-XO-OOO-O--OOXOXXXO--XOOO-OOO----O-XOXOO----O-XX-X-	16	11	false
-XOOXX-XX-O-OOXO--XOOO-XX-XOXOOXXOXXOOOXXOOXXOX---XXXXOXOOO---X-	-O-OOOXOOXOXX-O--OXXXXXO-OOXOXXO-OOOXX-XXOXOOOXXX-XX---OX-OOO-O-	16	0	false
X-XXX-XXOXX-XXO-XOXOXOX-OXXOXXXOX-XXOXXXOX-OOXOX--X-XO-OOX-O-XO-	X-XXX-XXOXX-XXO-XOXOXOX-OXXOXXXOX-XXOXXXOX-OOXOX--X-XO-OOX-O-XO-	16	4	false
-XO-OXOXOXXOXOXXXO-XOO-XXXOXO-X--XXXXXX-X-X-X---OXX---OXXX------	XXX---X-OX-XX-O-XOO-X---OXOOXX---OXXX---OX-OXXX-XXOXX-XX-OXX-XOX	16	13	false
OXXX-X-XOOOOXX--X--O-X-XOXOXXO-OOX-XXXX-X--OXOOOXXXO----X--XO---	---XO--O----XOOOXXXOX--O-OOOO-OXX-XOOXOXO-O-X--O--OOXXXXO-O-OOOX	16	10	false
XX-OOX-X-X---OO--O-XOX--OO-OOOOX-XOOXOO---O-XOXXX-O-XO-OO-XXO-X-	X--X-XO--O-OOX-XXOXOOOO-O-OOXXXOO-XOO--X----OOOXXXOOX---X--O--XO	16	8	false
XX-XXO---XOXXOOXOXX--O-OX-OOX--OXOOXXXOX--XXO-XX-X-XXX-OO-OO-X--	-XOOXXO--O--OX--OOO-X-XXXX-XXOX-XX-OXXXO-OXOOX-OXXX-O-X-X-OXX--O	16	3	false
OOX-OOO-OO------X----XX-XXXOXOOXO-XOXOX--X---X-OOOOXXXX-OO--O---	XX--X---XXXOOOO--O---O-XX-OXOXO-OOOXOXXOO----OO-XX------XXO-XXX-	16	11	false
XX----XO-X-OXO-O-OXX-X-XX--OOXXOO--XX-OXXOOO-XXOOXO--XOOO--OXOX-	-XOXO--OOOX--OXOOXX-OOOXXO-XX--OOXXOO--XX-X-XXO-O-OXO-X-OX----XX	16	13	false
X-XOX-OOOXX-XOOO-OOOX-----XOX--OXOXXOX--OXXOXOX-XOO-XOOXO-X-XO--	O-OXO-XXXOO-OXXX-XXXO-----OXO--XOXOOXO--XOOXOXO-OXX-OXXOX-O-OX--	16	5	false
--XOOXOOXX-XO-OXXXXXOO-XXO-XOX-OXO-XX-XXXOXOOO--XOOO-O-OOOOOXX--	XXOXXO--OX-XO-OOO-XXOOOOX-OXO-XOOO-OO-XO--XXXOXOX-X-XXXO--OOXXXX	16	15	false
XO--X-XOXXX---XOOXOOXX-OX-OXO-XOXXOOXO-XOX-OOX-XX-O-O-X--OOXXO--	XXOXXOX-OXX-XX-O-XOOO-OO--OXOO-XX-XOXOOX--X-OX-OXX-X--X-OOOOXX--	16	7	false
OO---O----X-O-OOOXXXOOO-OOXOX-XO-XOXO-OO---XXX--XXOX-X-XOO--X---	OX--OO-OOX-XOX-O-O-OXXX--XXXOX--X-XOXOO--XX--O-O---OXOO--X-OO-O-	16	2	false
-OX-OXX-OO-XOXOOXXOOXX----XOX-X-XOOOXOOOO-X-O-O-X--OO-XXOOXOO---	-OX-OXX-OO-XOXOOXXOOXX----XOX-X-XOOOXOOOO-X-O-O-X--OO-XXOOXOO---	16	1	false
OX-XXOOO-OXX-OXXXO-XOO--XO-XOO--X-XOXOO-XOXXX-OX---O-XXO-XO-XO--	XO-OOXXX-XOO-XOOOX-OXX--OX-OXX--O-OXOXX-OXOOO-XO---X-OOX-OX-OX--	16	5	false
-XX--XXOO-O-XX-OO-XOOOOO-O-OOX-O-X-XOXX-O-OOXXXOX-X-OXX-O-XOX---	-OO--OXOX--OX---XOX--OXX--OOXO-O-XOOOXOXXXOXXXX-X-O-XXX-OOOO-O--	16	0	false
XO---OOOXX---XOOXOO-X--XXX-XOOO-OOXOXXOO-XOX-O--XOO-XX-XX-O--X--	OOOOX-OOXOXOXOX---X-OXXX---OXO----OXO-O-XO-XOXOOXX-XX---XXO-X-O-	16	4	false
-X--OOXO-OX-OO-XXO-XX-XX-O-OX-XO---OXXXXO-OXOO-X-OOX-O-OX----X--	--X--O-XXOOO--O--X---OO---XOOXX-OOXXXO--OO--XOOXX-XXX---OXXOXXO-	16	7	false
X-OXXXX-OXX-OOOXXXX--OXOX-OXOO---XXOXXXXO--XXO-OX-X-XOXOOO-O-OO-	XOX-OOXOX--O-OO--O-OXOOXX-OXO--O-OOOX-XOXXXOXXXOXO-O-OXO-XXO-XO-	16	5	false
X-XOOOOXXOO--XOXOXOXOO--X-XOX-XXXXOXXO-OXOOX-XXXOOOXX-XOXOXX-X--	OXOOOXOOXXXO-OX-OXXXOXXOOOOOXO-X-O-OOX-XO-OX-XOX-OO-O-XX-XOXO-OO	16	1	false
O--OOOOOO--OXXO-OOOOOXO--O-XO-XOXO-OX---OOXXOXOXXOOOXXOO-XX-OO--	-XX-OO--XOOOXXOOOOXXOXOXXO-OX----O-XO-XOOOOOOXO-O--OXXO-O--OOOOO	16	1	false
X-XXOOOO-XO-X-OOXOXXX-OXOXXXXOOOX-OXO-XXXXXX-OX-XOXOX--OXX-OO-X-	X-XOXXXX-XOX-XOXXOXXOXX-X-XXXXOOOXXXO-XOO--O-O--OOOOXX-XOOXOX-O-	16	4	false
-XOXO-OOO-XXX-XOXXXOX-XOXX-OOO-XX-OOX-X-OO-OX---X-X--OXOOOO-X---	-X--OXXX-O-O-OOX-X--X---O-OOXOOX--XXXXOOXO-X-OOXX-X-OO-OXOXOOOX-	16	8	false
OOXO--OXOOXO-X-XXOXOO-X--X-OXX-X-O-OOXOX-XOX-X-OO--X-X-OXXXOXO-X	O-XOXOOOX-O-O--XX-O-OXO-OXOXX-X-O-OOX-O--O-XXOXOO-O-XOXXOX--XOXX	16	13	false
XX-----OX-X-OOXXOOO--XX-OO-OXX-OOOOXOXXOOXOXOXO-OOX-X-OX-O-XXX--	XXOOOOO-X-OOOXOO-XO-OOX----OXX-X-O-XOOXX-OXXXX-X-XX-XOO-OX-OO-X-	16	9	false
OX-X--XXO--X-OO--O-O---OOOXXO--X-OXOO-OXXX-OOOOXO-XXOOOXOXOX-X-O	OXOX-X-OO-XXOOOXXX-OOOOX-OXOO-OXOOXXO--X-O-O---OO--X-OO-OX-X--XX	16	13	false
XXXXOXOXOXOXO-X-OXX-XO-O--XXO-OO-XOXX---O-X-OO-XX-XX---OXOO-XO-X	OXOXOOOO-O-XOXOXX-XO-OOXXX-XOO-----OOXO-O-XX-O-XX---OO-OO-XO-XXO	16	7	false
XXO-XXXOXX-OOX--XXXXOOOXO-OXXXOXXOOXX-X-XXO-OOOXOX-OOO-OXXXX--O-	XXO-XXXOXX-OOX--XXXXOOOXO-OXXXOXXOOXX-X-XXO-OOOXOX-OOO-OXXXX--O-	16	1	false
XXOXOXO-XXO-OXXOXXOOO-X-XOXXXO--OX-OXOOXX-XOXOO-X-XXXXXXX-X-OO--	X-X-OO--X-XXXXXXX-XOXOO-OX-OXOOXXOXXXO--XXOOO-X-XXO-OXXOXXOXOXO-	16	7	false
XXX----X-OOX-X-XOX-XOXOXO-XXXX-O-XOXXOXO--OOXXX-OXXO-OOOX-XOXO--	OOOXX-X---X-OOX--OOOXOXX--XOOO-O-OOOOXXXOX-OXXOOOXO-O-O-O-XX--XO	16	8	false
-X-XX-O---XXOOOXOXX--O--OXXXXX-X-XOOXOOX--X-O-XXO-X-XOOOOXOO----	-O-XX-X-XOOOXX----O--XXOX-XXXXXOXOOXOOX-XX-O-X--OOOX-X-O----OOXO	16	9	false
XXXOOXXOXO-O-XOXOXXO---XX-OXO--X-X-OXXXXXXOXXOXOO--XOO-OXOO--X-X	OOXO-OXOOXO-OO-XO-OX-X-XXXXOXOO-X--XOOX-OO--OXXOOX--OO--XOOOOXXO	16	5	false
XOOOXOXXX-O--XXO--OO--XO--XXXOOOX--XXOX-OXX-XOX-OXO--OOXO-O-X--X	O-O-X--XOXO--OOXOXX-XOX-X--XXOX---XXXOOO--OO--XOX-O--XXOXOOOXOXX	16	14	false
OOXXXXOOX---OXO-XOO--OXX-XXXOOO-X-XXXOXXX-XOOXXO-XO--O-X-OO--O--	X-O-OXO-XXOXOO--OOXXXOXXOX-XOX--O--OOX--O-XOOOXXX-XO--OXXOO-OO--	16	2	false
O-OXX-OXXXXXO-XXOX-OOOX-XOOXXOXOX-OOX-XXXX-XO-XX-OO---XOXXX--X-X	XO-XXO-OXX-OXXXX-XOOO-XOOXOXXOOXXX-XOO-XXX-OX-XXOX---OO-X-X--XXX	16	15	false
O-OXO-OXOOOOO-OXO-XOOOXOOOXOXXOXOOXOO-XOOX-OOX-O--O-XXOXO--O-OO-	-XX-X--XOXOO-X--X-OXX-OXXO-XXOXXOXOOXOXXXOXXXO-XOX-XXXXXOX-XOX-X	16	12	false
O-OXX-X-O---X-OOOOO-XOOX--XXO-OOX--OX-OOXX---XXXO-XX-OXOO-OXOX--	X-XOO-O-X---O-XXXXX-OXXO--OOX-XXO--XO-XXOO---OOOX-OO-XOXX-XOXO--	16	3	false
XXXOO-XO-O---O-O-X---X-OXOXXXOXX-X-OXXOX-OO--X-O-OOXOXOOO--X--O-	-OOXXOOOOO-OX--X-XXXOXO--O-XX--OXX-OX--O-OO-X--X-OOXOXOXO---X--X	16	12	false
XOX-OOXXXOOX-O-XXOO--O-XXO-OXXO-XOXXX-XXX---O--OOXX-OXOXXOX-XO--	-XOX-XXX-O-XO--XOX--XOOOXOOXX--O---XO-X-XX-X-OOXOX-OOOOOXOXXXXXX	16	15	false
XOOX-XXXX-XO---XXXO-XXXOOOXOXXOXX-XXXOX-OXX-XOXXX-XOXOOOOOO--O--	OOXO-OX-O-OXOOX-O-OOXXXX--OOOOO-OX-XO-X-XOXOOOOXX-OX-O-XOOOXOXOX	16	11	false
O--OOXXX-OX--XXX--XOXO-XOOXOXXXOXOXXOOOXOOXO-XOOXX---X-XXO-XXX--	X--XOXOO-X-XXXOX-OOOOO--X-XXOX-OX-OOX--OOOXOXOOOOO-OXX--OOOXOXO-	16	5	false
X--XXX-OXXXOO-OXX---X-XXX-XXO-XOXOOXX-OX-X-OOOO-XOX--XXXOX-OX--O	XO-XO--XOXO--OOO-O-XXXX-OXXOO-XOO-OOX-OXO---O-OOOOOXX-XOO--OOO-X	16	9	false
X---O-XO-X-XO-XXX--OO-X-XXOOOXXOOO-OO-OXX-OXXO-XXXOO--XX-XX--O--	XO-X---OOO-XO-O--O-XX--OXOOXXXOOOX-XX-XXO-XOOX-OOO--XXOO--X--OO-	16	0	false
OXOO-X-X-XXOXXX-OO-O-O-XOOOOXXXOX--OXO-OOXO--OOXO---XX-OOXOX-OO-	X-X-OOXO-XXXOXX-X-O-O-OOOXXXOOOOO-OXO--XXOO--OXOO-XX---O-OO-XOXO	16	7	false
XO---OXX-OX-OO-XOX-XOXOOXOOXXOOO--XOOO-OX-OO-XXX-X-O--XOOO-XOO--	-OXOOOXX-XX-OO-XO-XOOXOOO--OXOO-XOOOXX----OXO-X-OX--OXOOO-X-XO-X	16	12	false
-O--OO-OO-OXXXXXXOXOOO-O--XXOXOXX-OOOO-XXOO--OXXO-XOX-XOOXOX-O--	--O-XOXOOX-XOX-OXXO--OOXX-OOOO-XXOXOXX--O-OOOXOXXXXXXO-OO-OO--O-	16	0	false
OXXXO-OXX-OXXO--O--OXOX-X-OOOXX-XXXOXX-XX---O-OXO--X--X---XX-X--	OX-XOOOX--XOOX-O-OXOX--X-OOXXX-OO-OOXOOOOX-X---O-O--O--X--O-OO--	16	2	false
X-OOX--XOXOXXO-XOO-XOOOO-XXOO---X--XX--OXX-OOXXX-O-OO-XXOXX-O--O	X-OOX--XOXOXXO-XOO-XOOOO-XXOO---X--XX--OXX-OOXXX-O-OO-XXOXX-O--O	16	0	false
X---XOXOO-XXXXO-XXX-XXOOXX-XX-OOX-XXXX--X---XOOXXOXXO-XXX---OX--	--OX---OOO-XOOXOOXXO---O--OOOO-OXX-OO-OOXXOO-OOO-XOOOO-XXOXO---O	16	1	false
XOX----XXXO-OOXXO--XXXXXXX-XXOXXOOXXOOXXOOOXOO-OOOOOXXOXOXXO-OX-	XXOXOOOOOX-XOOOXXO--XOOX--XXXXOO-OXXOOX--OXOOOXO-XXXX-OXXXXXXOX-	16	8	false
-OX-O-OOX--XXOO-OX-OOXOX--XOX----X-XXXOX-XXX-X-XO-OXOXXOXX-X----	----O-OOXOOXOX-XO-O-OOO-OXOOO-O----OXO--OXOXX-OX-XXOO--OXX-X-OX-	16	11	false
-XOOOO-OOXX-XO-XOXX-OOOX-O-XXOX--XXOOXXX-OXOXOXO-XX-XX-OXO--O-X-	-X-O--OXO-XX-XX-OXOXOXO-XXXOOXX--XOXX-O-XOOO-XXOX-OX-XXOO-OOOOX-	16	6	false
OO---OO-OOOO-XX-OX-XXXOXXOXXXXXXOOXXO-OXXOOOXXOOX-XOOO-X-O-XO---	XX---XX-XXXX-OO-XO-OOOXOOXOOOOOOXXOOX-XOOXXXOOXXO-OXXX-O-X-OX---	16	5	false
O-X-OO-XX-O-OX-XO-X-OOOXOXXXXO---O-OOX--O-O-X-XXOOX-XO--OO---O-O	X-OO-X-OX-XO-O-XXOOO-X-O--OXXXXO--XOO-O-XX-X-O-O--OX-XOOO-O---OO	16	1	false
XXXOO-X-XO-OO--O-OXX-XO-OXOOXX--OXOOX-OOXOO-O-O-OO--X--XOXO-XO--	OO-XXOXXOXXOOXXOO-OXXX-XXXOXX---XX-OOXOO--OO---XO-X-XX---X--X-O-	16	1	false
XXXXX--O-OXXOO--OXXXOX--OOXXO-OXXXXXXOXOO-OX--OOX-XO-X-OXXOOX---	---XOOXXO-X-OX-XOO--XO-OOXOXXXXXXO-OXXOO--XOXXXO--OOXXO-O--XXXXX	16	15	false
O-O-X--OX--X-XO-XXOXXO-OOX-OOX-X--OXO-XXOXXXOOXO-XO-OOOOX-XX--O-	O--X-O-O-OX-X--XO-OXXOXXX-XOO-XOXX-OXO--OXOOXXXOOOOO-OX--O--XX-X	16	15	false
XOXXOXOOO---X-XX--XO---XXXXXXXOOXO-XOOOOX-XX-O-XOOX---X-O---XO--	XOOXXO--XO-XX-O-O--OXX-XXO-OX--OO-XOOO--O-OO-OO-X--OX-X-OX-OOOXX	16	14	false
XXOXXO-OX--XX-OXXXXXOOXX-O-XX--OO--OO-XOXX-OO-XX--OOOOXXX-O-O-O-	XOOXXOO--XO-OOOXX-X---X-OOXOXXXXOOOOXXX-X-O---XXO-OX-O--OOO-XO-O	16	2	false
X-OO-OX-XOO-XXXX-OOO---OOOOOX-O--OXXXOO--XXO-OXXXOXX-XXXXXXOOO--	--XXXOOOOOO-OOXOOOX-XOO--XXOOOX--X-OXXXXX---XXX-OOOO-XXO-OX-XX-O	16	7	false
--OX-O-XOXXXOO-OO----X-X-XOXX-O-OXXOO-OXOOX---XOXX-OX-O-OO--XO--	XOXX-XX-XOXOO-O---OOX-OX-X-XO-OOOO-XO-X-X----OXX-XOXX-----XO-OXO	16	10	false
XX-X-XXOXXXXXOOOXXOO-OX-OX-OXOX-XO-OOO-XO-X-O--XXXXXOOXX--XOOO--	--OXXX--OOOOXXOOX-O-X--OOX-XXX-OXO-XOXO-OOXX-XO-OOOOOXXXOO-O-OOX	16	12	false
